Day of week,Date,distance,pace,time,pace
Thursday,4/27/2017,3.3,8:20,27:31,0:08:20
Sunday,5/14/2017,5,8:35,42:55,0:08:35
Thursday,5/18/2017,3.5,8:18,29:05,0:08:18
Monday,5/22/2017,4.98,8:27,42:10,0:08:27
Wednesday,5/31/2017,3.52,8:19,29:19,0:08:19
Sunday,6/4/2017,4.75,8:40,41:14,0:08:40
Wednesday,6/7/2017,3.51,8:30,29:52,0:08:30
Thursday,6/8/2017,3.54,8:16,29:16,0:08:16
Saturday,6/10/2017,4.66,8:37,40:11,0:08:37
Tuesday,6/13/2017,3.51,8:26,29:37,0:08:26
Thursday,6/15/2017,5.01,8:17,41:32,0:08:17
Tuesday,6/20/2017,4.01,8:43,34:56,0:08:43
Sunday,6/25/2017,7.25,8:41,1:02:56,0:08:41
Tuesday,6/27/2017,3.59,9:03,32:30,0:09:03
Sunday,7/2/2017,4.72,9:04,42:51,0:09:04
Tuesday,7/4/2017,3.2,7:31,24:04,0:07:31
Sunday,7/9/2017,6.5,8:33,55:40,0:08:33
Tuesday,7/11/2017,5,8:37,43:08,0:08:37
Thursday,7/13/2017,5,8:37,43:08,0:08:37
Saturday,7/15/2017,3.18,8:04,25:39,0:08:04
Monday,7/24/2017,3.53,8:42,30:46,0:08:42
Wednesday,7/26/2017,5,8:50,44:10,0:08:50
Friday,7/28/2017,5,9:06,45:31,0:09:06
Tuesday,8/1/2017,3.5,8:44,30:40,0:08:44
Sunday,8/6/2017,7.25,8:49,1:03:59,0:08:49
Sunday,8/13/2017,7.23,8:59,1:04:58,0:08:59
Thursday,8/17/2017,3.55,8:24,29:48,0:08:24
Friday,8/25/2017,5.01,8:44,43:47,0:08:44
Sunday,8/27/2017,8.77,10:51,1:35:06,0:10:51
Friday,9/1/2017,5,8:40,43:19,0:08:40
Friday,9/8/2017,5,8:47,43:58,0:08:47
Sunday,9/10/2017,2.52,9:09,23:07,0:09:09
Friday,9/15/2017,3.3,8:18,27:26,0:08:18
Sunday,9/17/2017,4.92,8:59,44:14,0:08:59
Thursday,9/21/2017,5,8:43,43:40,0:08:43
